"","proportion_count_hemoglobin_genes","Depleted","total raw counts","hemoglobin counts"
"HS_299_a",0.000418147568460186,"TRUE",16661582,6967
"HS_644_a",0.00225865168704272,"TRUE",16620978,37541
"HS_672_a",0.000834707352428376,"TRUE",16220056,13539
"HS_678_a",0.00244410613117114,"TRUE",18253299,44613
"HS_694_a",0.000338809678336738,"TRUE",16850168,5709
"HS_696_a",0.000694396683856421,"TRUE",19716396,13691
"HS_698_a",0.000257673434352056,"TRUE",18007289,4640
"HS_701_a",0.000720023854172658,"TRUE",17368869,12506
"HS_702_a",0.000332616330067903,"TRUE",16141721,5369
"HS_703_a",0.000462903054224106,"TRUE",15811086,7319
"HS_299",0.305674453346667,"FALSE",14255241,4357463
"HS_644",0.594630365144427,"FALSE",13612285,8094278
"HS_672",0.338460521646098,"FALSE",14857851,5028796
"HS_678",0.585181457177431,"FALSE",12499974,7314753
"HS_694",0.212015456163145,"FALSE",15426597,3270677
"HS_696",0.263728913748605,"FALSE",15875036,4186706
"HS_698",0.303973826392327,"FALSE",15395967,4679971
"HS_701",0.395800116153384,"FALSE",13876479,5492312
"HS_702",0.126903970488171,"FALSE",13724937,1741749
"HS_703",0.290381849868535,"FALSE",12254633,3558523
